;rpm;deg;tor;fft_y_Fw_filtered_ampl_0;fft_y_Fw_filtered_ampl_1;fft_y_Fw_filtered_ampl_3;fft_y_Fw_filtered_ampl_39;fft_y_Fw_filtered_ampl_40;fft_y_Fw_filtered_ampl_78;fft_y_Fw_filtered_ampl_81;fft_y_Fw_filtered_ampl_156;fft_y_Fw_filtered_ampl_162;fft_y_Fw_filtered_ampl_240;fft_y_Fw_filtered_phase_0;fft_y_Fw_filtered_phase_1;fft_y_Fw_filtered_phase_3;fft_y_Fw_filtered_phase_39;fft_y_Fw_filtered_phase_40;fft_y_Fw_filtered_phase_78;fft_y_Fw_filtered_phase_81;fft_y_Fw_filtered_phase_156;fft_y_Fw_filtered_phase_162;fft_y_Fw_filtered_phase_240
0;400,0;25,0;1000,0;-0,0571552790752403;0,0171340005331556;0,0008024427700995;0,0011229146602254;0,0007235462016712;0,0009751888568411;0,0003287691687836;6,445969603431859e-05;0,0001395247357488;0,0002020059335057;0;-0,0160492629055741;1,7800511660843863;-1,1897689164446417;0,2298471418296134;-0,2074335941193156;-1,566750325833573;2,1006614993718777;2,304629051006575;-1,812224992301388
1;900,0;25,0;700,0;-0,048753784809564;0,0172100126091219;0,000697354921712;0,0009353604993679;0,0008608123576361;0,000700257227011;0,0002903016523074;0,000142595201876;0,0001414725402905;0,0003525566224771;0;-0,0086786144106757;1,7134354166746342;-1,312243260868942;0,2483145910001024;-0,0313169311300016;-1,3756230118249673;1,806207294394572;1,9803602227743504;-2,0327419326177
2;500,0;25,0;1400,0;-0,0713831977928653;0,0171110742543564;0,0009687992831897;0,0014177797756718;0,0006851417391309;0,0014486497258467;0,000356822615199;8,034710812132433e-05;0,0001960213237088;0,0005105867760516;0;-0,015102038279113;1,8664357289278524;-1,044913241751976;0,1156216061668419;-0,2296111406616965;-1,8538945104987243;3,0267220576291214;2,185305884585041;-1,0718477949627796
3;100,0;30,0;1500,0;-0,0795310910831724;0,0169794393481832;0,00090956813431;0,0015476076867484;0,0007750802430873;0,0019400286547817;0,0004926746501029;5,158059598652115e-05;0,0002042420853953;0,0007436416838878;0;-0,0145870367699549;1,8897946057029;-0,898245173557036;0,1285909655192995;-0,5083304912655517;-1,975687624481999;-2,7185893035612185;2,5140250636381647;-1,2197021216109818
4;1100,0;35,0;700,0;-0,0488749849326246;0,0171949686573193;0,0006925001469266;0,0009761909958387;0,0008534189906221;0,0005948872562675;0,0002635284607491;0,0002474071218821;0,0001477644672987;0,0030762163177643;0;-0,0100966953996778;1,7909489402405203;-1,2820446676402368;0,2695252370468455;-0,1631245017109391;-1,5406296757018576;1,0428449500914043;2,546570392161739;-2,443514971198106
5;1500,0;25,0;100,0;-0,0227458841416735;0,0171556247998897;0,0007883207687769;0,0007116676037399;0,0007558941379845;0,0006887189861884;0,0002670838133606;0,0006407090911993;0,0011190472785358;0,0004258321131701;0;0,0146543924816548;1,644932457837219;-1,9182158100226323;-0,3657602808217334;0,2027233205341862;-1,177589394619172;-1,663590102079812;0,5220341852490565;2,92710784689584
6;1800,0;30,0;1100,0;-0,0570229739552621;0,017162729204583;0,0008505740840915;0,0010787344073259;0,0009165476185841;0,0013661285604247;0,0003327813354915;0,0034825521616495;0,000862572329037;0,0004710710703439;0;-0,0085784027366185;1,8951957666490888;-1,1522357476189111;0,1321837776706426;0,0490950048528125;-1,291642781322566;0,5082180915517776;-2,56650435462618;-1,0857422277927484
7;600,0;25,0;1800,0;-0,0877947051239062;0,0171340024749754;0,0010964672152588;0,0017286487012898;0,0006737451145041;0,001994127407102;0,0004152611498745;0,000104729279231;0,0002581597471001;0,0008125198802177;0;-0,0169750248334003;1,9723658002807296;-0,933362793601934;0,1826518097060439;-0,1839783626182187;-1,9474523583916452;2,6044138220830075;2,0243159304485085;-1,1610802653756795
8;700,0;25,0;700,0;-0,0527345998604268;0,0171791606313946;0,0007160844224587;0,0009309568590259;0,0008335867376265;0,0006856330512918;0,0002893883339598;0,0001100505199878;0,0001361506444869;0,0002963858884729;0;-0,0101351845475314;1,6698959484233011;-1,31259693756199;0,2838871931209687;-0,0855589360169607;-1,3812081687640572;1,8801752948923125;1,9877415775899725;-1,736557827819026
9;300,0;35,0;100,0;-0,0240479101114877;0,0172291163159908;0,0006406970310892;0,0008659672597209;0,0008778342227826;9,631217963220728e-05;0,0003272692995758;0,0001280609891677;4,036689700713866e-05;0,0002616649110437;0;-0,0063495919021113;1,7605006715154097;-1,6122479026886103;0,2614669850452556;-1,914855348998625;-0,8230829410325535;1,0743870777276785;2,952833456093852;3,1189777663852443
