method	phase_0_MAE	phase_1_MAE	phase_3_MAE	phase_39_MAE	phase_40_MAE	phase_78_MAE	phase_81_MAE	phase_156_MAE	phase_162_MAE
DT	0.0e+00	2.4e-05	1.4e-05	2.0e-05	2.4e-05	2.7e-05	1.2e-05	6.6e-05	3.9e-05
ET	0.0e+00	3.2e-05	1.6e-05	2.0e-05	2.3e-05	3.5e-05	1.7e-05	1.3e-04	7.2e-05
ETs	0.0e+00	2.6e-05	1.4e-05	1.7e-05	1.8e-05	1.9e-05	9.3e-06	7.1e-05	3.8e-05
RF	0.0e+00	2.1e-05	1.2e-05	1.6e-05	1.9e-05	1.8e-05	9.1e-06	7.5e-05	4.8e-05
GBM	0.0e+00	2.1e-05	1.2e-05	1.5e-05	2.0e-05	2.2e-05	9.7e-06	8.4e-05	5.4e-05
HGBM	0.0e+00	2.0e-05	1.2e-05	1.3e-05	2.0e-05	2.9e-05	9.8e-06	2.0e-04	9.7e-05
XGBM	0.0e+00	2.4e-05	1.3e-05	1.9e-05	3.0e-05	6.7e-05	1.7e-05	2.7e-04	1.6e-04
LGBM	0.0e+00	2.1e-05	1.3e-05	1.3e-05	1.9e-05	2.9e-05	9.0e-06	2.1e-04	9.1e-05
SVM	0.0e+00	2.7e-05	1.7e-05	1.7e-05	2.9e-05	9.7e-05	2.4e-05	4.5e-04	4.5e-04
MLP	3.3e-03	1.0e-04	3.9e-05	4.7e-05	4.1e-05	1.0e-04	3.3e-05	7.6e-04	5.3e-04
	0.0e+00	3.3e-05	3.3e-05	4.6e-05	3.9e-05	9.7e-05	3.4e-05	6.6e-04	5.3e-04
