method	phase_0_RMSE	phase_1_RMSE	phase_3_RMSE	phase_39_RMSE	phase_40_RMSE	phase_78_RMSE	phase_81_RMSE	phase_156_RMSE	phase_162_RMSE
DT	0.0e+00	2.7e-05	1.5e-05	2.2e-05	2.6e-05	3.0e-05	1.3e-05	7.4e-05	4.4e-05
ET	0.0e+00	3.6e-05	1.8e-05	2.3e-05	2.5e-05	3.9e-05	1.9e-05	1.5e-04	8.0e-05
ETs	0.0e+00	2.9e-05	1.5e-05	1.9e-05	2.0e-05	2.1e-05	1.0e-05	7.9e-05	4.3e-05
RF	0.0e+00	2.4e-05	1.4e-05	1.8e-05	2.1e-05	2.0e-05	1.0e-05	8.3e-05	5.3e-05
GBM	0.0e+00	2.3e-05	1.3e-05	1.6e-05	2.2e-05	2.5e-05	1.1e-05	9.4e-05	6.0e-05
HGBM	0.0e+00	2.2e-05	1.4e-05	1.5e-05	2.2e-05	3.3e-05	1.1e-05	2.2e-04	1.1e-04
XGBM	0.0e+00	2.7e-05	1.5e-05	2.1e-05	3.3e-05	7.5e-05	1.8e-05	3.0e-04	1.8e-04
LGBM	0.0e+00	2.3e-05	1.4e-05	1.5e-05	2.1e-05	3.3e-05	9.9e-06	2.3e-04	1.0e-04
SVM	0.0e+00	3.0e-05	1.8e-05	1.9e-05	3.2e-05	1.1e-04	2.7e-05	5.0e-04	5.1e-04
MLP	3.3e-03	1.1e-04	4.4e-05	5.3e-05	4.5e-05	1.1e-04	3.6e-05	8.5e-04	5.9e-04
	0.0e+00	3.6e-05	3.7e-05	5.2e-05	4.3e-05	1.1e-04	3.8e-05	7.4e-04	5.9e-04
